subject,session,N_trials_remembered_raw,N_trials_forgotten_raw,N_trials_remembered_clean,N_trials_forgotten_clean
LTP270,7,75,149,61,113
LTP270,17,122,134,115,127
LTP270,0,110,146,103,134
LTP271,7,87,137,65,112
LTP271,17,108,148,96,123
LTP271,0,124,132,124,130
LTP271,4,103,153,96,143
LTP271,19,157,99,133,77
LTP271,3,122,134,118,133
LTP271,1,114,142,111,137
LTP271,16,85,171,75,160
LTP271,6,109,147,91,115
LTP271,2,80,176,72,166
LTP271,18,150,106,141,93
LTP271,5,108,148,97,135
LTP272,6,246,10,214,7
LTP272,16,247,9,239,9
LTP272,1,221,35,197,28
LTP272,5,237,19,229,17
LTP272,18,253,3,249,3
LTP272,2,236,20,120,6
LTP272,0,210,46,197,45
LTP272,17,253,3,251,3
LTP272,7,175,49,72,14
LTP272,3,215,41,127,23
LTP272,19,251,5,249,5
LTP272,4,240,16,172,9
LTP273,1,99,157,70,130
LTP273,17,80,176,70,138
LTP273,6,113,143,92,112
LTP273,2,97,159,91,158
LTP273,19,85,171,81,156
LTP273,5,102,154,87,122
LTP273,7,80,144,69,120
LTP273,16,90,166,71,132
LTP273,0,113,143,90,126
LTP273,4,115,141,89,114
LTP273,18,73,183,66,168
LTP273,3,134,122,110,103
LTP274,19,100,156,84,141
LTP274,4,102,154,72,98
LTP274,3,151,105,112,66
LTP274,7,101,123,87,102
LTP274,0,111,145,101,128
LTP274,17,82,174,39,84
LTP274,2,161,95,132,81
LTP274,5,118,138,92,97
LTP274,18,89,167,67,104
LTP274,16,78,178,67,152
LTP274,1,145,111,88,63
LTP274,6,116,140,100,114
LTP275,6,215,41,177,34
LTP275,1,195,61,163,54
LTP275,17,232,24,163,18
LTP275,19,241,15,223,14
LTP275,5,201,55,184,49
LTP275,2,191,65,178,64
LTP275,0,187,69,134,44
LTP275,16,230,26,218,25
LTP275,7,179,45,121,34
LTP275,3,233,23,222,23
LTP275,18,235,21,198,20
LTP275,4,239,17,180,15
LTP276,16,150,106,137,92
LTP276,1,159,97,127,73
LTP276,6,148,108,141,105
LTP276,2,179,77,167,70
LTP276,5,142,114,129,104
LTP276,18,201,55,185,50
LTP276,7,115,109,110,100
LTP276,17,175,81,110,40
LTP276,0,156,100,127,75
LTP276,4,159,97,145,78
LTP276,19,197,59,177,45
LTP276,3,167,89,139,60
LTP277,2,164,92,155,86
LTP277,5,194,62,131,48
LTP277,1,134,122,118,101
LTP277,6,211,45,165,40
LTP277,4,211,45,196,39
LTP277,3,203,53,202,53
LTP277,7,148,76,133,66
LTP277,0,145,111,143,110
LTP278,1,130,126,119,109
LTP278,17,139,117,56,62
LTP278,6,107,149,91,137
LTP278,2,136,120,126,114
LTP278,19,195,61,116,43
LTP278,5,92,164,81,146
LTP278,7,111,113,93,100
LTP278,16,179,77,161,70
LTP278,0,122,134,118,129
LTP278,4,105,151,91,144
LTP278,18,173,83,141,70
LTP278,3,139,117,123,97
LTP279,6,185,71,94,20
LTP279,1,200,56,103,20
LTP279,16,217,39,145,27
LTP279,18,182,74,136,49
LTP279,5,127,129,119,114
LTP279,2,147,109,132,98
LTP279,17,179,77,50,20
LTP279,0,181,75,76,36
LTP279,7,178,46,96,21
LTP279,3,168,88,144,70
LTP279,4,160,96,32,15
LTP279,19,235,21,145,14
LTP280,3,140,116,98,76
LTP280,4,132,124,103,102
LTP280,16,143,113,130,101
LTP280,18,123,133,111,115
LTP280,0,140,116,138,115
LTP280,7,122,102,59,44
LTP280,17,129,127,113,116
LTP280,5,124,132,90,109
LTP280,2,122,134,85,92
LTP280,6,114,142,104,120
LTP280,1,125,131,116,122
LTP280,19,123,133,91,107
LTP281,5,126,130,101,102
LTP281,2,114,142,105,122
LTP281,6,125,131,118,113
LTP281,1,127,129,121,121
LTP281,16,54,202,33,121
LTP281,3,116,140,78,96
LTP281,4,126,130,111,122
LTP281,19,89,167,66,118
LTP281,17,64,192,47,142
LTP281,0,127,129,114,118
LTP281,7,86,138,60,97
LTP282,5,169,87,163,85
LTP282,2,152,104,150,101
LTP282,1,148,108,141,105
LTP282,3,149,107,145,106
LTP282,4,156,100,152,97
LTP282,0,161,95,160,94
LTP283,6,196,60,183,59
LTP283,16,173,83,170,82
LTP283,1,173,83,134,64
LTP283,5,200,56,197,55
LTP283,18,183,73,164,60
LTP283,2,200,56,190,54
LTP283,0,147,109,144,104
LTP283,7,157,67,128,61
LTP283,17,226,30,205,26
LTP283,19,214,42,191,38
LTP283,3,178,78,176,77
LTP283,4,180,76,142,59
LTP284,0,159,97,126,80
LTP284,17,169,87,112,50
LTP284,7,90,134,90,133
LTP284,3,185,71,145,60
LTP284,19,179,77,128,59
LTP284,4,155,101,105,69
LTP284,6,154,102,154,102
LTP284,16,213,43,161,33
LTP284,1,160,96,147,90
LTP284,5,101,155,85,134
LTP284,18,183,73,92,31
LTP284,2,179,77,179,77
LTP285,0,156,100,139,90
LTP285,17,191,65,164,48
LTP285,19,190,66,184,65
LTP285,3,160,96,156,95
LTP285,4,167,89,155,86
LTP285,16,175,81,150,69
LTP285,6,173,83,165,81
LTP285,1,154,102,147,101
LTP285,5,170,86,147,71
LTP285,2,149,107,141,104
LTP286,4,148,108,137,101
LTP286,19,195,61,155,42
LTP286,3,160,96,154,94
LTP286,7,47,177,40,160
LTP286,17,143,113,128,104
LTP286,0,139,117,92,81
LTP286,2,165,91,149,81
LTP286,18,154,102,113,75
LTP286,5,178,78,168,72
LTP286,1,140,116,124,101
LTP286,16,182,74,171,72
LTP286,6,155,101,138,91
LTP287,4,185,71,176,65
LTP287,16,176,80,169,77
LTP287,3,190,66,181,65
LTP287,7,126,98,38,26
LTP287,18,213,43,169,40
LTP287,0,148,108,138,98
LTP287,2,157,99,143,88
LTP287,17,143,113,43,49
LTP287,5,196,60,143,36
LTP287,1,165,91,147,88
LTP287,19,178,78,149,60
LTP287,6,171,85,68,40
LTP288,1,146,110,111,76
LTP288,18,188,68,145,54
LTP288,6,191,65,151,51
LTP288,2,145,111,110,81
LTP288,16,193,63,141,49
LTP288,5,197,59,163,41
LTP288,19,206,50,144,42
LTP288,7,177,47,146,40
LTP288,0,150,106,118,70
LTP288,4,158,98,115,63
LTP288,3,151,105,145,92
LTP288,17,197,59,144,34
LTP289,5,202,54,202,54
LTP289,17,224,32,214,32
LTP289,2,150,106,135,88
LTP289,6,182,74,142,53
LTP289,19,215,41,185,38
LTP289,1,146,110,123,94
LTP289,3,179,77,166,67
LTP289,16,209,47,194,44
LTP289,4,181,75,164,68
LTP289,0,140,116,110,87
LTP289,18,223,33,200,26
LTP289,7,130,94,57,49
LTP290,0,148,108,88,60
LTP290,19,215,41,163,32
LTP290,7,90,134,85,117
LTP290,3,163,93,111,61
LTP290,17,167,89,83,52
LTP290,4,152,104,120,82
LTP290,6,222,34,217,32
LTP290,1,192,64,140,42
LTP290,5,162,94,125,72
LTP290,16,219,37,183,26
LTP290,2,205,51,179,39
LTP291,16,212,44,101,18
LTP291,1,113,143,94,112
LTP291,6,88,168,42,71
LTP291,2,111,145,103,127
LTP291,5,130,126,128,124
LTP291,18,204,52,178,45
LTP291,7,69,155,36,86
LTP291,17,150,106,102,68
LTP291,0,95,161,41,71
LTP291,4,116,140,97,106
LTP291,19,184,72,34,13
LTP291,3,154,102,73,55
LTP292,1,152,104,145,100
LTP292,6,168,88,108,61
LTP292,2,166,90,143,71
LTP292,5,180,76,122,62
LTP292,0,140,116,130,110
LTP292,4,166,90,134,63
LTP292,3,161,95,113,69
LTP293,18,167,89,129,71
LTP293,3,151,105,136,77
LTP293,4,173,83,132,64
LTP293,0,153,103,125,84
LTP293,7,127,97,116,86
LTP293,16,157,99,128,85
LTP293,5,177,79,164,72
LTP293,19,182,74,141,52
LTP293,2,163,93,137,87
LTP293,6,167,89,131,71
LTP293,17,126,130,84,72
LTP293,1,144,112,130,102
LTP294,7,111,113,103,95
LTP294,0,148,108,98,64
LTP294,4,133,123,105,94
LTP294,3,179,77,131,56
LTP294,1,164,92,144,79
LTP294,6,175,81,167,79
LTP294,2,138,118,96,79
LTP294,5,166,90,142,78
LTP331,1,234,22,231,22
LTP331,6,247,9,219,8
LTP331,2,235,21,198,15
LTP331,5,240,16,239,16
LTP331,0,244,12,232,12
LTP331,4,236,20,205,17
LTP331,3,230,26,229,26
LTP332,4,133,123,133,123
LTP332,0,112,144,103,125
LTP332,2,146,110,129,97
LTP332,6,127,129,125,123
LTP332,1,96,160,95,157
LTP333,1,168,88,149,79
LTP333,6,171,85,168,80
LTP333,2,146,110,137,99
LTP333,5,162,94,138,79
LTP333,0,120,136,116,134
LTP333,4,201,55,174,47
LTP333,3,164,92,130,73
LTP334,4,202,54,189,49
LTP334,3,212,44,179,36
LTP334,0,190,66,189,66
LTP334,2,222,34,185,28
LTP334,5,223,33,196,24
LTP334,1,182,74,179,72
LTP334,6,211,45,208,45
LTP335,5,208,48,195,47
LTP335,1,213,43,197,41
LTP335,6,205,51,188,44
LTP335,4,198,58,198,58
LTP335,3,214,42,205,41
LTP335,0,164,92,148,77
LTP336,2,146,110,138,108
LTP336,5,146,110,144,110
LTP336,0,157,99,155,98
LTP336,4,128,128,128,124
LTP337,3,123,133,121,118
LTP337,4,131,125,129,124
LTP337,0,110,146,97,134
LTP337,5,125,131,115,120
LTP337,2,95,161,88,152
LTP337,6,129,127,119,115
LTP337,1,101,155,97,152
LTP338,0,120,136,110,128
LTP338,6,139,117,137,114
LTP338,1,142,114,129,111
LTP338,5,135,121,126,113
LTP339,1,115,141,109,128
LTP339,6,139,117,118,101
LTP339,2,139,117,128,114
LTP339,5,146,110,146,110
LTP339,0,124,132,124,131
LTP339,4,154,102,144,99
